Position,xG #,xGA #,xGD #,GS #,GA #,GD #,Team,MP,xG,xGA,xGD,GS,GA,GD,xG vs Actual
1,1,1,1,1,1,1,Manchester City FC,38,2.16,0.99,1.17,94,33,61,0.31
2,2,2,2,2,3,2,Arsenal FC,38,2.13,1.21,0.92,88,43,45,0.19
4,6,5,5,6,2,3,Newcastle United FC,38,1.82,1.32,0.5,68,33,35,-0.03
5,4,4,4,3,7,4,Liverpool FC,38,1.95,1.29,0.66,75,47,28,0.02
6,3,3,3,4,10,5,Brighton & Hove Albion FC,38,2,1.27,0.73,72,53,19,-0.11
3,5,8,6,7,4,6,Manchester United FC,38,1.82,1.49,0.33,58,43,15,-0.29
9,12,19,14,8,5,7,Brentford FC,38,1.42,1.77,-0.35,58,46,12,0.11
8,7,12,8,5,15,8,Tottenham Hotspur FC,38,1.62,1.64,-0.02,70,63,7,0.22
7,14,6,11,10,6,9,Aston Villa FC,38,1.24,1.47,-0.23,51,46,5,0.1
10,11,13,12,9,11,10,Fulham FC,38,1.42,1.65,-0.23,55,53,2,0.03
12,8,7,7,15,8,11,Chelsea FC,38,1.61,1.48,0.13,38,47,-9,-0.61
11,15,9,13,14,9,12,Crystal Palace FC,38,1.21,1.55,-0.34,40,49,-9,-0.16
14,9,10,9,13,12,13,West Ham United FC,38,1.51,1.6,-0.09,42,55,-13,-0.4
18,16,14,17,11,16,14,Leicester City FC,38,1.21,1.65,-0.44,51,68,-17,0.13
17,13,17,15,19,13,15,Everton FC,38,1.39,1.75,-0.36,34,57,-23,-0.5
13,18,16,18,20,14,16,Wolverhampton Wanderers FC,38,1.06,1.7,-0.64,31,58,-27,-0.24
16,19,18,19,16,17,17,Nottingham Forest FC,38,0.94,1.76,-0.82,38,68,-30,0.06
19,10,15,10,12,20,18,Leeds United FC,38,1.49,1.67,-0.18,48,78,-30,-0.23
15,20,20,20,17,18,19,AFC Bournemouth,38,0.94,1.96,-1.02,37,71,-34,0.03
20,17,11,16,18,19,20,Southampton FC,38,1.19,1.6,-0.41,36,73,-37,-0.24
