Position,xG #,xGA #,xGD #,GS #,GA #,GD #,Team,MP,xG,xGA,xGD,GS,GA,GD,xG vs Actual
1,3,2,3,2,1,2,Liverpool FC,38,2.03,1.16,0.87,85,33,52,0.21
2,1,1,1,1,2,1,Manchester City FC,38,2.6,1.03,1.57,102,35,67,0.08
3,4,6,4,5,3,3,Manchester United FC,38,1.84,1.35,0.49,66,36,30,-0.1
4,2,3,2,3,11,5,Chelsea FC,38,2.2,1.18,1.02,69,54,15,-0.38
5,5,4,5,4,6,4,Leicester City FC,38,1.8,1.32,0.48,67,41,26,-0.04
6,11,15,12,6,7,6,Tottenham Hotspur FC,38,1.49,1.74,-0.25,61,47,14,0.12
7,7,5,6,8,5,7,Wolverhampton Wanderers FC,38,1.54,1.34,0.2,51,40,11,-0.2
8,13,16,13,7,8,8,Arsenal FC,38,1.43,1.75,-0.32,56,48,8,0.04
9,15,7,11,15,4,9,Sheffield United FC,38,1.2,1.45,-0.25,39,39,0,-0.17
10,18,13,17,12,9,10,Burnley FC,38,1.03,1.67,-0.64,43,50,-7,0.1
11,6,9,7,9,15,11,Southampton FC,38,1.67,1.55,0.12,51,60,-9,-0.33
12,9,8,8,11,13,12,Everton FC,38,1.52,1.47,0.05,44,56,-12,-0.36
13,20,18,20,17,14,16,Newcastle United FC,38,1,1.88,-0.88,38,58,-20,0
14,19,14,18,19,10,15,Crystal Palace FC,38,1.03,1.67,-0.64,31,50,-19,-0.21
15,8,10,9,16,12,14,Brighton & Hove Albion FC,38,1.53,1.6,-0.07,39,54,-15,-0.5
16,12,11,10,10,16,13,West Ham United FC,38,1.46,1.67,-0.21,49,62,-13,-0.17
17,10,19,15,13,19,18,Aston Villa FC,38,1.49,1.9,-0.41,41,67,-26,-0.41
18,17,17,16,14,18,17,AFC Bournemouth,38,1.16,1.77,-0.61,40,65,-25,-0.11
19,16,10,19,18,17,19,Norwich City FC,38,1.18,1.96,-0.78,36,64,-28,-0.5
20,14,12,14,20,20,20,Watford FC,38,1.27,1.67,-0.4,26,75,-49,-0.32
